Home Team,Away Team,Group
Senegal,Netherlands,Group A
England,Iran,Group B
Qatar,Ecuador,Group A
USA,Wales,Group B
Argentina,Saudi Arabia,Group C
Denmark,Tunisia,Group D
Mexico,Poland,Group C
France,Peru,Group D
Morocco,Croatia,Group F
Germany,Japan,Group E
Spain,Costa Rica,Group E
Belgium,Canada,Group F
Switzerland,Cameroon,Group G
Uruguay,Korea Republic,Group H
Portugal,Ghana,Group H
Brazil,Serbia,Group G
Wales,Iran,Group B
Qatar,Senegal,Group A
Netherlands,Ecuador,Group A
England,USA,Group B
Tunisia,Peru,Group D
Poland,Saudi Arabia,Group C
France,Denmark,Group D
Argentina,Mexico,Group C
Japan,Costa Rica,Group E
Belgium,Morocco,Group F
Croatia,Canada,Group F
Spain,Germany,Group E
Cameroon,Serbia,Group G
Korea Republic,Ghana,Group H
Brazil,Switzerland,Group G
Portugal,Uruguay,Group H
Ecuador,Senegal,Group A
Netherlands,Qatar,Group A
Wales,England,Group B
Iran,USA,Group B
Peru,Denmark,Group D
Tunisia,France,Group D
Poland,Argentina,Group C
Saudi Arabia,Mexico,Group C
Croatia,Belgium,Group F
Canada,Morocco,Group F
Japan,Spain,Group E
Costa Rica,Germany,Group E
Ghana,Uruguay,Group H
Korea Republic,Portugal,Group H
Serbia,Switzerland,Group G
Cameroon,Brazil,Group G
